tail,head,u,p_fail
0,1,9.0,0.589598108152686
0,3,7.0,0.5100789799910432
1,2,6.0,0.544602166063315
1,13,5.0,0.4574487742561303
1,18,7.0,0.3937380239315073
1,30,5.0,0.6631041483405684
2,3,5.0,0.5122065872972834
2,8,6.0,0.47380600536980205
3,4,5.0,0.5106890766324992
3,20,5.0,0.7024637494768693
3,16,6.0,0.46675660013431425
3,39,8.0,0.46830218659273093
4,5,6.0,0.4484207281458275
4,26,5.0,0.47142312775269263
4,40,6.0,0.37133427613246295
4,45,5.0,0.6064924786697597
5,6,5.0,0.501945880009134
5,31,5.0,0.43831057763372727
5,38,5.0,0.5914174052530361
5,43,5.0,0.47313324094718967
6,7,5.0,0.6241594970285351
6,41,8.0,0.4866499668871992
6,38,5.0,0.49681754065452105
7,8,5.0,0.5238220503892107
8,9,6.0,0.5462175273566426
8,44,6.0,0.455327545064895
8,13,5.0,0.45673940056573026
8,39,6.0,0.5162496569986745
8,2,7.0,0.37578576261040436
9,10,5.0,0.3253740680381576
9,36,5.0,0.49460134621767005
9,41,7.0,0.5114001514659462
10,11,5.0,0.5948712267858782
10,28,5.0,0.4920783916943742
10,23,5.0,0.593359036063067
11,12,5.0,0.6163549758118303
12,13,5.0,0.5092459077734922
12,20,5.0,0.45599514699067556
12,39,6.0,0.4338101891683464
13,14,5.0,0.48676416146666884
13,34,5.0,0.4043187974061392
13,35,5.0,0.5180344593538116
13,15,6.0,0.5641422255592917
13,20,5.0,0.4571304864056412
14,15,6.0,0.5793443579592513
14,3,5.0,0.43945318151648993
14,32,5.0,0.504751896275309
15,16,6.0,0.5172018975920194
15,41,5.0,0.3735291159694552
15,34,5.0,0.48012634277957733
16,17,5.0,0.57466054027053
16,34,5.0,0.5958970046524854
17,18,6.0,0.6054764006684104
17,41,6.0,0.4496553580608397
17,6,5.0,0.5115614633159408
17,1,5.0,0.3942735498878292
18,19,5.0,0.5563399476767816
18,48,5.0,0.5013960075721261
19,20,5.0,0.5720606212299534
19,4,5.0,0.4110978928833662
19,6,6.0,0.6121110133023484
19,14,6.0,0.5050216396705359
19,32,5.0,0.4088414506889971
20,21,6.0,0.5608625164650906
21,22,5.0,0.693693895197833
21,28,5.0,0.5221962557235927
22,23,5.0,0.5209533788576508
23,24,6.0,0.3932213202156803
23,32,5.0,0.4843486746225217
23,33,6.0,0.5806064810039118
24,25,6.0,0.5209240109104472
24,30,6.0,0.48850906251883697
24,46,6.0,0.4495714993404055
24,18,5.0,0.6678096957330405
24,45,5.0,0.46053471747756375
25,26,5.0,0.3895013453842358
25,30,5.0,0.5174344862601192
26,27,5.0,0.47698268090047063
26,21,6.0,0.4704355000546037
27,28,5.0,0.4438811326498234
27,49,7.0,0.43871595969629323
27,7,5.0,0.4211829573533131
27,25,5.0,0.5832762778304958
27,45,7.0,0.42960055397037283
28,29,5.0,0.43570229291642054
28,12,5.0,0.5151942455059496
29,30,5.0,0.5549964058454865
29,22,5.0,0.5264125563529926
29,25,5.0,0.4772363244777193
29,47,5.0,0.45207659077960294
30,31,5.0,0.5051193833156737
30,14,7.0,0.4646173308770841
30,45,6.0,0.4818550569406999
30,15,5.0,0.5737232526626752
30,3,6.0,0.49416783774826106
30,18,5.0,0.5674127236133903
31,32,5.0,0.45727132882161214
31,37,5.0,0.4760762858356448
32,33,5.0,0.5008740705587519
32,38,5.0,0.5259608155192731
33,34,5.0,0.4216967522809365
33,26,5.0,0.4312062444095342
34,35,8.0,0.6568407878128534
34,16,7.0,0.5212670222388995
34,33,6.0,0.4608144689445607
34,43,5.0,0.39089556577648465
35,36,5.0,0.45671587111591505
35,34,5.0,0.5822890400517358
35,22,6.0,0.6106006383229685
36,37,6.0,0.41901609810845786
36,21,5.0,0.5019564523061848
36,8,5.0,0.5505961662542987
37,38,6.0,0.5566710400988923
37,33,5.0,0.5137484019308314
37,30,5.0,0.5009230975769211
37,36,5.0,0.5319821308670847
37,28,6.0,0.4601134423197283
37,39,5.0,0.5248401948386903
38,39,5.0,0.5583915162766198
38,40,5.0,0.4752004502445955
38,49,7.0,0.6090875246751173
38,23,6.0,0.5791624542767758
39,40,6.0,0.46237853244226135
39,16,6.0,0.4644059841792264
39,12,5.0,0.517164601737354
40,41,5.0,0.5304984843002815
40,17,5.0,0.536312953038202
41,42,5.0,0.515862433286602
41,9,5.0,0.4893787688812656
42,43,5.0,0.7006940135669902
42,15,7.0,0.6670816482914204
42,8,5.0,0.5403942293695746
42,17,5.0,0.543363014881454
43,44,5.0,0.5541711015470587
43,19,5.0,0.5942503270498553
43,6,5.0,0.5323152117766942
44,45,5.0,0.6005665078188671
44,25,6.0,0.37980146488469735
44,14,5.0,0.4521255475075204
45,46,5.0,0.4527511997846473
45,21,6.0,0.3940367064926831
46,47,6.0,0.4707393920487634
46,25,5.0,0.45736039834534814
46,42,5.0,0.4357757052958432
47,48,5.0,0.4263006467843188
47,12,6.0,0.541542325839318
48,49,5.0,0.4382939439586618
48,30,5.0,0.5399891853753467
48,21,5.0,0.43939141914107005
49,39,5.0,0.5089509082786802
