tail,head,u,p_fail
0,1,5.0,0.6863581102285308
0,5,7.0,0.8536071556113964
1,5,5.0,0.7620976652983199
2,4,6.0,0.8525104216120426
2,8,5.0,0.9018865417245074
2,3,6.0,0.9668117257476301
2,5,6.0,0.8955217014064314
2,0,5.0,0.6892110793556073
2,1,5.0,0.9448094055204438
3,0,5.0,0.6139257966157553
3,7,5.0,0.78638660322426
3,5,7.0,0.7423980824632127
3,1,5.0,0.6823153030668736
4,3,6.0,0.8742459171165534
4,7,7.0,0.7783087073855319
4,5,5.0,0.9322396688761532
4,0,5.0,0.6404953785899536
4,1,6.0,0.9082852774265536
5,7,8.0,0.8620409280930899
6,9,9.0,0.8153254461506334
6,8,5.0,0.6466402713108395
6,0,5.0,0.7703505029498695
8,5,5.0,0.634356142689239
8,7,5.0,0.5853523287496601
8,4,6.0,0.99
8,0,6.0,0.9254137415526946
9,0,5.0,0.99
9,2,6.0,0.7501399055682437
9,5,5.0,0.8880618794322195
9,8,5.0,0.8882241821528171
