tail,head,u,p_fail
0,15,8.0,0.21722522277940676
0,1,5.0,0.1651046966802661
1,0,7.0,0.1675339823861658
1,16,7.0,0.1658978367844595
1,2,8.0,0.21464358542918782
2,1,5.0,0.2507613903077088
2,17,7.0,0.1953144732693521
2,3,5.0,0.19432046617109833
3,2,5.0,0.17452119777592434
3,18,5.0,0.196633979402039
3,4,5.0,0.2014923554506868
4,3,5.0,0.158739281326919
4,19,6.0,0.20867174563001656
4,5,5.0,0.21626114130709012
5,4,5.0,0.187159642929842
5,20,5.0,0.20330810333745647
5,6,6.0,0.23434506907113783
6,5,7.0,0.20703588534368156
6,21,5.0,0.15810376295305717
6,7,5.0,0.1963541027872854
7,6,6.0,0.2712201926831882
7,22,5.0,0.16723274889396234
7,8,7.0,0.2560594999681763
8,7,5.0,0.19811327852504962
8,23,5.0,0.17620045519379934
8,9,6.0,0.14768953462278722
9,8,5.0,0.20960513577138018
9,24,5.0,0.18946899087236713
9,10,5.0,0.18939028895299603
10,9,5.0,0.18183859075665718
10,25,6.0,0.20148879623124177
10,11,5.0,0.1411612831462101
11,10,7.0,0.1879791268128933
11,26,5.0,0.16805616613887545
11,12,5.0,0.20964877691360595
12,11,5.0,0.1873162786428287
12,27,6.0,0.199389429470793
12,13,6.0,0.20829653168698387
13,12,5.0,0.1766303592050377
13,28,6.0,0.1650492181742858
13,14,5.0,0.16924958464977524
14,13,5.0,0.1895139265980602
14,29,5.0,0.2513551569747384
15,0,6.0,0.2464948556179931
15,30,5.0,0.23820681588079454
15,16,6.0,0.1962390226471953
16,1,5.0,0.2509978633413485
16,15,5.0,0.21736026696143354
16,31,5.0,0.1869556677229522
16,17,5.0,0.21448033114635626
17,2,5.0,0.2169233106347364
17,16,5.0,0.14991173629201604
17,32,6.0,0.160202439511949
17,18,5.0,0.17569083403166016
18,3,5.0,0.20999113223021687
18,17,5.0,0.19027736245279986
18,33,6.0,0.18454083897377438
18,19,5.0,0.23763940102575162
19,4,6.0,0.24430145138153528
19,18,5.0,0.17013888361236199
19,34,5.0,0.2551147085900594
19,20,5.0,0.19775167410772662
20,5,6.0,0.19826933490327797
20,19,5.0,0.2246811553725174
20,35,5.0,0.23885901136809817
20,21,5.0,0.16546022018513762
21,6,6.0,0.20578641219009644
21,20,5.0,0.21830055887358563
21,36,6.0,0.19522387546802175
21,22,5.0,0.19511606489694033
22,7,5.0,0.22449676498864682
22,21,6.0,0.24187580772630812
22,37,6.0,0.2120103438307356
22,23,5.0,0.18459665474473333
23,8,5.0,0.22059820618805956
23,22,5.0,0.2034732964626083
23,38,5.0,0.2118787116577853
23,24,5.0,0.1831510379237554
24,9,5.0,0.19390114613286683
24,23,5.0,0.1883759196444497
24,39,5.0,0.23712896620537283
24,25,5.0,0.1794324701168611
25,10,5.0,0.2076017310666861
25,24,5.0,0.15591788530567982
25,40,5.0,0.1628050991752679
25,26,5.0,0.19619267609607388
26,11,5.0,0.1906396447816557
26,25,6.0,0.20238141394598175
26,41,5.0,0.1952787131655173
26,27,5.0,0.2361629720311461
